cos_pair,r_min_label,r_min,ambiguity_mode,nli_contradiction,pair_filter,n_verified,n_true_supersession,n_fv_diff_key,n_fv_same_object,fv_rate_recomputed,helped,harmed,net
0.9,loose,0.44,none,0.5,False,28333,2673,25660,0,0.905658,10,7,3
0.9,loose,0.44,none,0.9,True,2673,2673,0,0,0.0,6,7,-1
0.9,loose,0.44,none,0.9,False,28313,2673,25640,0,0.905591,10,7,3
0.9,loose,0.44,none,0.99,True,2670,2670,0,0,0.0,6,7,-1
0.9,loose,0.44,none,0.99,False,28171,2670,25501,0,0.905222,10,7,3
0.9,off,,all,0.5,True,387,387,0,0,0.0,1,3,-2
0.9,off,,all,0.5,False,5579,387,5192,0,0.930633,2,3,-1
0.9,off,,all,0.9,True,387,387,0,0,0.0,1,3,-2
0.9,off,,all,0.9,False,5570,387,5183,0,0.930521,2,3,-1
0.9,off,,all,0.99,True,384,384,0,0,0.0,1,3,-2
0.9,off,,all,0.99,False,5516,384,5132,0,0.930384,2,3,-1
0.9,off,,any,0.5,True,1213,1213,0,0,0.0,3,6,-3
0.9,off,,any,0.5,False,14310,1213,13097,0,0.915234,4,6,-2
0.9,off,,any,0.9,True,1213,1213,0,0,0.0,3,6,-3
0.9,off,,any,0.9,False,14299,1213,13086,0,0.915169,4,6,-2
0.9,off,,any,0.99,True,1210,1210,0,0,0.0,3,6,-3
0.9,off,,any,0.99,False,14217,1210,13007,0,0.914891,4,6,-2
0.9,off,,none,0.5,True,2673,2673,0,0,0.0,6,7,-1
0.9,off,,none,0.5,False,28333,2673,25660,0,0.905658,10,7,3
0.9,off,,none,0.9,True,2673,2673,0,0,0.0,6,7,-1
0.9,off,,none,0.9,False,28313,2673,25640,0,0.905591,10,7,3
0.9,off,,none,0.99,True,2670,2670,0,0,0.0,6,7,-1
0.9,off,,none,0.99,False,28171,2670,25501,0,0.905222,10,7,3
0.92,frozen,0.192366,all,0.5,True,282,282,0,0,0.0,1,3,-2
0.92,frozen,0.192366,all,0.5,False,2730,304,2426,0,0.888645,2,2,0
0.92,frozen,0.192366,all,0.9,True,282,282,0,0,0.0,1,3,-2
0.92,frozen,0.192366,all,0.9,False,2721,304,2417,0,0.888276,2,2,0
0.92,frozen,0.192366,all,0.99,True,282,282,0,0,0.0,1,3,-2
0.92,frozen,0.192366,all,0.99,False,2688,304,2384,0,0.886905,2,2,0
0.92,frozen,0.192366,any,0.5,True,834,834,0,0,0.0,2,6,-4
0.92,frozen,0.192366,any,0.5,False,7363,888,6475,0,0.879397,3,5,-2
0.92,frozen,0.192366,any,0.9,True,834,834,0,0,0.0,2,6,-4
0.92,frozen,0.192366,any,0.9,False,7353,888,6465,0,0.879233,3,5,-2
0.92,frozen,0.192366,any,0.99,True,834,834,0,0,0.0,2,6,-4
0.92,frozen,0.192366,any,0.99,False,7313,888,6425,0,0.878572,3,5,-2
0.92,frozen,0.192366,none,0.5,True,1783,1783,0,0,0.0,6,6,0
0.92,frozen,0.192366,none,0.5,False,14029,1894,12135,0,0.864994,8,6,2
0.92,frozen,0.192366,none,0.9,True,1783,1783,0,0,0.0,6,6,0
0.92,frozen,0.192366,none,0.9,False,14015,1894,12121,0,0.864859,8,6,2
0.92,frozen,0.192366,none,0.99,True,1783,1783,0,0,0.0,6,6,0
0.92,frozen,0.192366,none,0.99,False,13949,1894,12055,0,0.86422,8,6,2
0.92,loose,0.44,all,0.5,True,386,386,0,0,0.0,1,3,-2
0.92,loose,0.44,all,0.5,False,2839,386,2453,0,0.864037,2,3,-1
0.92,loose,0.44,all,0.9,True,386,386,0,0,0.0,1,3,-2
0.92,loose,0.44,all,0.9,False,2830,386,2444,0,0.863604,2,3,-1
0.92,loose,0.44,all,0.99,True,383,383,0,0,0.0,1,3,-2
0.92,loose,0.44,all,0.99,False,2793,383,2410,0,0.862871,2,3,-1
0.92,loose,0.44,any,0.5,True,1186,1186,0,0,0.0,3,6,-3
0.92,loose,0.44,any,0.5,False,7726,1186,6540,0,0.846492,4,6,-2
0.92,loose,0.44,any,0.9,True,1186,1186,0,0,0.0,3,6,-3
0.92,loose,0.44,any,0.9,False,7715,1186,6529,0,0.846273,4,6,-2
0.92,loose,0.44,any,0.99,True,1183,1183,0,0,0.0,3,6,-3
0.92,loose,0.44,any,0.99,False,7671,1183,6488,0,0.845783,4,6,-2
0.92,loose,0.44,none,0.5,True,2615,2615,0,0,0.0,6,7,-1
0.92,loose,0.44,none,0.5,False,14849,2615,12234,0,0.823894,10,7,3
0.92,loose,0.44,none,0.9,True,2615,2615,0,0,0.0,6,7,-1
0.92,loose,0.44,none,0.9,False,14834,2615,12219,0,0.823716,10,7,3
0.92,loose,0.44,none,0.99,True,2612,2612,0,0,0.0,6,7,-1
0.92,loose,0.44,none,0.99,False,14764,2612,12152,0,0.823083,10,7,3
0.92,off,,all,0.5,True,386,386,0,0,0.0,1,3,-2
0.92,off,,all,0.5,False,2839,386,2453,0,0.864037,2,3,-1
0.92,off,,all,0.9,True,386,386,0,0,0.0,1,3,-2
0.92,off,,all,0.9,False,2830,386,2444,0,0.863604,2,3,-1
0.92,off,,all,0.99,True,383,383,0,0,0.0,1,3,-2
0.92,off,,all,0.99,False,2793,383,2410,0,0.862871,2,3,-1
0.92,off,,any,0.5,True,1186,1186,0,0,0.0,3,6,-3
0.92,off,,any,0.5,False,7726,1186,6540,0,0.846492,4,6,-2
0.92,off,,any,0.9,True,1186,1186,0,0,0.0,3,6,-3
0.92,off,,any,0.9,False,7715,1186,6529,0,0.846273,4,6,-2
0.92,off,,any,0.99,True,1183,1183,0,0,0.0,3,6,-3
0.92,off,,any,0.99,False,7671,1183,6488,0,0.845783,4,6,-2
0.92,off,,none,0.5,True,2615,2615,0,0,0.0,6,7,-1
0.92,off,,none,0.5,False,14849,2615,12234,0,0.823894,10,7,3
0.92,off,,none,0.9,True,2615,2615,0,0,0.0,6,7,-1
0.92,off,,none,0.9,False,14834,2615,12219,0,0.823716,10,7,3
0.92,off,,none,0.99,True,2612,2612,0,0,0.0,6,7,-1
0.92,off,,none,0.99,False,14764,2612,12152,0,0.823083,10,7,3
0.94,frozen,0.192366,all,0.5,True,268,268,0,0,0.0,0,3,-3
0.94,frozen,0.192366,all,0.5,False,433,272,161,0,0.371824,0,2,-2
0.94,frozen,0.192366,all,0.9,True,268,268,0,0,0.0,0,3,-3
0.94,frozen,0.192366,all,0.9,False,426,272,154,0,0.361502,0,2,-2
0.94,frozen,0.192366,all,0.99,True,268,268,0,0,0.0,0,3,-3
0.94,frozen,0.192366,all,0.99,False,411,272,139,0,0.3382,0,2,-2
0.94,frozen,0.192366,any,0.5,True,812,812,0,0,0.0,1,6,-5
0.94,frozen,0.192366,any,0.5,False,1339,825,514,0,0.383869,2,5,-3
0.94,frozen,0.192366,any,0.9,True,812,812,0,0,0.0,1,6,-5
0.94,frozen,0.192366,any,0.9,False,1332,825,507,0,0.380631,2,5,-3
0.94,frozen,0.192366,any,0.99,True,812,812,0,0,0.0,1,6,-5
0.94,frozen,0.192366,any,0.99,False,1316,825,491,0,0.3731,2,5,-3
0.94,frozen,0.192366,none,0.5,True,1755,1755,0,0,0.0,5,6,-1
0.94,frozen,0.192366,none,0.5,False,2915,1788,1127,0,0.386621,6,6,0
0.94,frozen,0.192366,none,0.9,True,1755,1755,0,0,0.0,5,6,-1
0.94,frozen,0.192366,none,0.9,False,2908,1788,1120,0,0.385144,6,6,0
0.94,frozen,0.192366,none,0.99,True,1755,1755,0,0,0.0,5,6,-1
0.94,frozen,0.192366,none,0.99,False,2892,1788,1104,0,0.381743,6,6,0
0.94,loose,0.44,all,0.5,True,351,351,0,0,0.0,0,4,-4
0.94,loose,0.44,all,0.5,False,534,351,183,0,0.342697,0,4,-4
0.94,loose,0.44,all,0.9,True,351,351,0,0,0.0,0,4,-4
0.94,loose,0.44,all,0.9,False,527,351,176,0,0.333966,0,4,-4
0.94,loose,0.44,all,0.99,True,348,348,0,0,0.0,0,4,-4
0.94,loose,0.44,all,0.99,False,508,348,160,0,0.314961,0,4,-4
0.94,loose,0.44,any,0.5,True,1089,1089,0,0,0.0,2,7,-5
0.94,loose,0.44,any,0.5,False,1654,1089,565,0,0.341596,3,8,-5
0.94,loose,0.44,any,0.9,True,1089,1089,0,0,0.0,2,7,-5
0.94,loose,0.44,any,0.9,False,1647,1089,558,0,0.338798,3,8,-5
0.94,loose,0.44,any,0.99,True,1086,1086,0,0,0.0,2,7,-5
0.94,loose,0.44,any,0.99,False,1627,1086,541,0,0.332514,3,8,-5
0.94,loose,0.44,none,0.5,True,2444,2444,0,0,0.0,4,8,-4
0.94,loose,0.44,none,0.5,False,3660,2444,1216,0,0.33224,7,9,-2
0.94,loose,0.44,none,0.9,True,2444,2444,0,0,0.0,4,8,-4
0.94,loose,0.44,none,0.9,False,3653,2444,1209,0,0.330961,7,9,-2
0.94,loose,0.44,none,0.99,True,2441,2441,0,0,0.0,4,8,-4
0.94,loose,0.44,none,0.99,False,3633,2441,1192,0,0.328103,7,9,-2
0.94,off,,all,0.5,True,351,351,0,0,0.0,0,4,-4
0.94,off,,all,0.5,False,534,351,183,0,0.342697,0,4,-4
0.94,off,,all,0.9,True,351,351,0,0,0.0,0,4,-4
0.94,off,,all,0.9,False,527,351,176,0,0.333966,0,4,-4
0.94,off,,all,0.99,True,348,348,0,0,0.0,0,4,-4
0.94,off,,all,0.99,False,508,348,160,0,0.314961,0,4,-4
0.94,off,,any,0.5,True,1089,1089,0,0,0.0,2,7,-5
0.94,off,,any,0.5,False,1654,1089,565,0,0.341596,3,8,-5
0.94,off,,any,0.9,True,1089,1089,0,0,0.0,2,7,-5
0.94,off,,any,0.9,False,1647,1089,558,0,0.338798,3,8,-5
0.94,off,,any,0.99,True,1086,1086,0,0,0.0,2,7,-5
0.94,off,,any,0.99,False,1627,1086,541,0,0.332514,3,8,-5
0.94,off,,none,0.5,True,2444,2444,0,0,0.0,4,8,-4
0.94,off,,none,0.5,False,3660,2444,1216,0,0.33224,7,9,-2
0.94,off,,none,0.9,True,2444,2444,0,0,0.0,4,8,-4
0.94,off,,none,0.9,False,3653,2444,1209,0,0.330961,7,9,-2
0.94,off,,none,0.99,True,2441,2441,0,0,0.0,4,8,-4
0.94,off,,none,0.99,False,3633,2441,1192,0,0.328103,7,9,-2
